location,date,zika_bool,max_temp,max_temp1,max_temp2,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,gdp,gdp_ppp
Colombia-Choco-Rio_Iro,2016-01-09,0,87.0,88.0,88.0,81.0,82.0,82.0,76.0,77.0,76.0,77.0,77.0,77.0,0.38,0.02,0.0,2.0,2.0,1.0,38.68492126464844,0.3163407372730402,6.2888805536729855,0.315710266873041,291.5,666.9
Colombia-Norte_Santander-Chinacota,2016-06-25,1,90.0,33.0,35.0,83.0,29.0,30.0,77.0,26.0,25.0,66.0,18.0,18.0,0.59,17.53,1.02,14.0,27.0,24.0,114.68582916259766,0.11564225014899987,10.785095586149023,0.12867301814900023,291.5,666.9
Panama-Metro-Chorrillo,2016-04-11,1,34.0,34.0,34.0,29.0,29.0,29.0,25.0,26.0,24.0,21.0,22.0,22.0,0.0,0.0,0.0,10.0,12.0,11.0,7821.94775390625,0.0006686726211399222,0.04124001482114228,8.648915522021134,54.3,91.1
Colombia-Narino-Pupiales,2016-01-09,0,68.0,62.0,60.0,55.0,54.0,52.0,43.0,47.0,44.0,49.0,48.0,47.0,0.02,0.02,0.03,3.0,5.0,6.0,167.7227325439453,0.0010545009799997989,1.5154385889800053,0.6351172929799934,291.5,666.9
Colombia-Narino-Sapuyes,2016-01-09,0,68.0,62.0,60.0,55.0,54.0,52.0,43.0,47.0,44.0,49.0,48.0,47.0,0.02,0.02,0.03,3.0,5.0,6.0,73.4800033569336,0.03352799285860954,1.9059718046586136,0.6966213104586058,291.5,666.9
Colombia-Putumayo-Sibundoy,2016-01-09,0,75.0,79.0,80.0,67.0,71.0,70.0,59.0,62.0,60.0,61.0,52.0,50.0,0.12,0.08,0.0,3.0,11.0,10.0,246.04489135742188,0.17417038282100303,3.837251932821033,0.28619516082099883,291.5,666.9
Colombia-Tolima-Natagaima,2016-06-18,1,32.0,33.0,33.0,28.0,28.0,28.0,23.0,23.0,22.0,18.0,19.0,21.0,0.51,0.25,6.61,10.0,7.0,6.0,30.37020492553711,0.49666689732999975,2.054052083329983,0.5351037413299966,291.5,666.9
Colombia-Magdalena-El_Pinon,2016-05-14,1,34.0,34.0,34.0,30.0,29.0,29.0,26.0,25.0,25.0,26.0,25.0,26.0,19.05,24.64,11.94,12.0,10.0,11.0,48.86759948730469,0.23798825280500002,22.56357762080497,0.036497590804999765,291.5,666.9
Guatemala-Jalapa,2016-03-26,1,27.0,27.0,26.0,13.0,19.0,20.0,0.0,11.0,15.0,15.0,16.0,16.0,0.0,0.0,0.0,23.0,16.0,16.0,227.11949157714844,0.36232056256004846,2.020257884760058,1.236982497160044,63.8,126.2
Colombia-Cundinamarca-Caqueza,2016-06-25,1,66.0,19.0,19.0,57.0,13.0,13.0,48.0,9.0,8.0,48.0,8.0,9.0,0.0,0.0,0.0,7.0,11.0,9.0,151.567138671875,0.1279567856376122,0.1279567856376122,0.1594065272376094,291.5,666.9
Colombia-Antioquia-Guatape,2016-05-21,1,76.0,22.0,21.0,65.0,18.0,17.0,55.0,13.0,13.0,56.0,14.0,14.0,0.18,26.16,43.93,4.0,5.0,4.0,135.56866455078125,0.07702214085800509,3.351235786857968,0.17362377285800093,291.5,666.9
Colombia-Atlantico-Sabanagrande,2016-06-25,1,90.0,33.0,33.0,83.0,29.0,29.0,77.0,24.0,25.0,77.0,25.0,26.0,0.0,1.02,0.51,7.0,12.0,9.0,1118.43017578125,0.01071144084200044,24.370697334841964,0.00012766284200006777,291.5,666.9
Dominican_Republic-Hato_Mayor,2016-05-21,1,88.0,30.0,30.0,81.0,26.0,27.0,74.0,22.0,23.0,75.0,23.0,24.0,0.0,0.0,0.0,7.0,8.0,12.0,24.762672424316406,0.21531389212879504,0.2826686593287978,8.050266656128823,68.2,149.9
Colombia-Antioquia-Yolombo,2016-05-14,1,22.0,21.0,22.0,18.0,17.0,18.0,13.0,13.0,14.0,14.0,14.0,14.0,26.16,43.93,51.05,5.0,4.0,5.0,28.049304962158203,0.3558250708999998,4.3552563308999925,0.10022465090000185,291.5,666.9
Colombia-Antioquia-Rionegro,2016-05-07,1,21.0,22.0,24.0,17.0,18.0,19.0,13.0,14.0,14.0,14.0,14.0,14.0,43.93,51.05,2.28,4.0,5.0,8.0,704.0064697265625,0.0027023937940003186,3.589971375793983,0.043641333793997886,291.5,666.9
Colombia-Santander-Confines,2016-01-09,0,82.0,84.0,85.0,74.0,75.0,75.0,66.0,66.0,66.0,68.0,66.0,65.0,0.04,0.01,0.0,4.0,5.0,5.0,41.657203674316406,0.5967195525729981,3.5570699205730083,0.5824301545729986,291.5,666.9
Colombia-Narino-Gualmatan,2016-01-09,0,68.0,62.0,60.0,55.0,54.0,52.0,43.0,47.0,44.0,49.0,48.0,47.0,0.02,0.02,0.03,3.0,5.0,6.0,207.0086669921875,0.01431898506899939,1.7251190390690065,0.5483240170689935,291.5,666.9
Colombia-Meta-Barranca_De_Upia,2016-06-25,1,82.0,27.0,30.0,76.0,23.0,25.0,69.0,20.0,21.0,70.0,21.0,21.0,0.53,34.29,4.06,3.0,2.0,3.0,22.98474884033203,0.5788271106730047,1.4114650446730108,0.22813355467300084,291.5,666.9
Colombia-Antioquia-Narino,2016-04-16,1,23.0,25.0,24.0,19.0,20.0,20.0,15.0,15.0,16.0,17.0,16.0,17.0,0.0,0.76,0.25,5.0,6.0,4.0,118.5054931640625,0.015897672401002223,3.011272262400981,0.6214334044010086,291.5,666.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Nicaragua-Nueva_Segovia,2016-05-05,1,35.0,35.0,36.0,30.0,31.0,31.0,26.0,27.0,26.0,23.0,23.0,21.0,0.0,0.0,0.0,10.0,10.0,16.0,51.03972625732422,2.7416426994954533,9.386389094695444,2.188805405095449,12.7,32.1
Colombia-Santander-San_Andres,2016-06-25,1,87.0,31.0,31.0,82.0,28.0,28.0,78.0,26.0,26.0,78.0,26.0,26.0,0.57,17.02,12.95,11.0,14.0,6.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,291.5,666.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Colombia-Valle_Del_Cauca-Candelaria,2016-06-18,1,19.0,19.0,20.0,13.0,13.0,14.0,9.0,8.0,9.0,8.0,9.0,9.0,0.0,0.0,0.0,11.0,9.0,8.0,6356.5986328125,0.016516442396810927,0.016516442396810927,0.15879562699680938,291.5,666.9
Brazil-Alagoas,2016-05-28,1,84.0,84.0,29.0,78.0,77.0,26.0,72.0,70.0,23.0,74.0,72.0,23.0,1.32,0.16,6.34,5.0,5.0,8.0,17.653419494628906,0.9836387819638881,13.5531117029639,0.0035098035638901487,1799.7,3224.4
Colombia-Cesar-San_Alberto,2016-06-25,1,42.050000000000004,50.599999999999994,50.8,35.1,44.599999999999994,40.150000000000006,28.15,38.65,30.5,29.299999999999997,34.050000000000004,31.5,1.2105000000000001,0.6765000000000001,1.1900000000000013,8.7,10.600000000000001,9.85,52.75319290161133,0.3081147706579975,9.925452382658026,0.14168383265800213,291.5,666.9
Colombia-Meta-Granada,2016-06-25,1,82.0,27.0,30.0,76.0,23.0,25.0,69.0,20.0,21.0,70.0,21.0,21.0,0.53,34.29,4.06,3.0,2.0,3.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,291.5,666.9
Dominican_Republic-Santo_Domingo,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Colombia-Narino-San_Pedro_De_Cartago,2016-04-02,1,24.0,27.0,24.0,20.0,21.0,20.0,16.0,16.0,15.0,17.0,14.0,16.0,0.25,0.51,2.54,4.0,6.0,5.0,158.3873291015625,0.053699453316000484,4.360009993316021,0.8416981413159953,291.5,666.9
Colombia-Antioquia-Retiro,2016-01-09,0,73.0,74.0,75.0,65.0,64.0,63.0,56.0,54.0,52.0,58.0,56.0,53.0,1.45,0.02,0.0,2.0,3.0,4.0,89.2931137084961,0.017158656748998097,3.6843612507489567,0.029840498749000438,291.5,666.9
Colombia-Valle_Del_Cauca-El_Cerrito,2016-06-25,1,86.0,30.0,31.0,77.0,24.0,25.0,67.0,18.0,19.0,66.0,19.0,19.0,0.04,0.0,0.76,5.0,7.0,7.0,149.06585693359375,0.024666247072000862,5.727691655071968,0.09764597507199893,291.5,666.9
El_Salvador-La_Union,2016-04-23,1,34.0,33.0,36.0,29.0,29.0,30.0,25.0,25.0,25.0,24.0,22.0,21.0,0.0,0.0,0.0,7.0,8.0,11.0,222.5365447998047,1.4660862761403288,1.4660862761403288,1.9349101577403545,26.1,52.7
Dominican_Republic-Barahona,2016-05-07,1,30.0,31.0,32.0,27.0,27.0,28.0,23.0,23.0,23.0,24.0,24.0,22.0,1.02,0.0,0.0,12.0,17.0,23.0,2050.2607421875,0.0018242044502504225,2.102146169050236,1.1671120618502697,68.2,149.9
Colombia-Amazonas-Leticia,2016-03-26,1,31.0,32.0,32.0,28.0,28.0,28.0,24.0,24.0,24.0,26.0,25.0,25.0,39.63,39.88,17.02,2.0,2.0,2.0,17.075828552246094,0.00013430787399995502,86.20871819587398,0.09547450987399633,291.5,666.9
Dominican_Republic-Barahona,2016-05-07,1,30.0,31.0,32.0,27.0,27.0,28.0,23.0,23.0,23.0,24.0,24.0,22.0,1.02,0.0,0.0,12.0,17.0,23.0,2050.2607421875,0.0018242044502504225,2.102146169050236,1.1671120618502697,68.2,149.9
Colombia-Antioquia-Cocorna,2016-01-09,1,73.0,74.0,75.0,65.0,64.0,63.0,56.0,54.0,52.0,58.0,56.0,53.0,1.45,0.02,0.0,2.0,3.0,4.0,93.2120361328125,0.0679665398290014,2.9154290258289866,0.17424757782899555,291.5,666.9
Colombia-Guajira-Albania,2016-05-28,1,92.0,95.0,33.0,85.0,88.0,29.0,78.0,81.0,25.0,76.0,76.0,25.0,0.0,0.0,2.04,8.0,0.0,13.0,65.84765625,0.015619414449999532,44.13248697845003,0.1398639604500007,291.5,666.9
Colombia-Huila-Hobo,2016-06-04,1,33.0,91.0,92.0,28.0,82.0,84.0,22.0,74.0,76.0,21.0,69.0,69.0,6.61,0.14,0.12,6.0,5.0,5.0,45.694358825683594,0.15931326596981088,6.189472938569793,0.9490102951698084,291.5,666.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Haiti-Ouest-Petion_Ville,2016-02-03,1,32.0,32.0,32.0,28.0,28.0,27.0,24.0,23.0,23.0,19.0,19.0,19.0,0.0,0.0,0.0,14.0,14.0,14.0,7284.19775390625,0.004403729199699979,6.867184692799722,0.002010007399699828,8.7,18.8
Dominican_Republic-Barahona,2016-05-07,1,30.0,31.0,32.0,27.0,27.0,28.0,23.0,23.0,23.0,24.0,24.0,22.0,1.02,0.0,0.0,12.0,17.0,23.0,2050.2607421875,0.0018242044502504225,2.102146169050236,1.1671120618502697,68.2,149.9
Colombia-Cundinamarca-Guayabal_De_Siquima,2016-04-02,1,22.0,23.0,21.0,16.0,15.0,16.0,10.0,8.0,11.0,11.0,8.0,11.0,4.06,4.06,6.1,8.0,10.0,9.0,53.55732727050781,0.1336710004179931,0.1336710004179931,0.05680523441800016,291.5,666.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Dominican_Republic-Distrito_Nacional,2016-06-04,1,31.0,88.0,88.0,27.0,83.0,82.0,25.0,77.0,77.0,24.0,75.0,75.0,0.0,0.0,0.0,5.0,5.0,6.0,12376.0859375,0.010560756123141259,0.07189741892313734,4.68724406752319,68.2,149.9
Nicaragua-Masaya-San_Juan_de_Oriente,2016-03-07,1,35.0,34.0,34.0,29.0,29.0,29.0,25.0,24.0,24.0,22.0,21.0,22.0,0.0,0.0,0.0,17.0,19.0,19.0,869.7952880859375,0.06570109744274147,11.268314754242732,0.07277420164273846,12.7,32.1
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Colombia-Atlantico-Palmar_De_Varela,2016-05-28,1,94.0,95.0,34.0,85.0,88.0,30.0,76.0,81.0,26.0,80.0,80.0,26.0,0.0,0.04,19.05,5.0,8.0,12.0,393.6209716796875,0.023030123584001083,24.20289635558404,0.003569747584000274,291.5,666.9
Colombia-Risaralda-La_Virginia,2016-06-11,1,28.0,27.0,80.0,23.0,22.0,73.0,18.0,18.0,66.0,18.0,19.0,66.0,16.0,8.64,0.35,9.0,7.0,5.0,1034.811767578125,0.02289560094899884,3.006322538948947,0.15484140094899873,291.5,666.9
Ecuador-Imbabura,2016-04-13,1,71.0,72.0,72.0,63.0,63.0,63.0,54.0,54.0,55.0,55.0,55.0,56.0,0.49,0.0,0.2,5.0,4.0,4.0,683.337158203125,0.28323678950465553,0.28323678950465553,1.6346052095046444,99.3,184.8
Colombia-Cordoba-Valencia,2016-05-07,1,33.0,33.0,35.0,29.0,29.0,30.0,24.0,24.0,25.0,25.0,25.0,26.0,13.97,2.54,0.0,2.0,3.0,4.0,60.35798645019531,0.42537348890761517,11.128582056307572,0.36338063210761307,291.5,666.9
Ecuador-Los_Rios-Vinces,2016-03-30,1,90.0,91.0,88.0,83.0,84.0,82.0,77.0,78.0,77.0,76.0,75.0,75.0,0.56,0.02,0.44,5.0,6.0,6.0,122.62074279785156,0.37854443380228997,1.7327182210022916,3.9575533654022945,99.3,184.8
Dominican_Republic-Independencia,2016-03-26,1,31.0,31.0,31.0,27.0,27.0,26.0,22.0,24.0,21.0,22.0,22.0,19.0,0.0,0.0,0.0,18.0,18.0,15.0,18.34076690673828,0.17891358173676666,3.441027310736785,0.39484007593677234,68.2,149.9
Dominican_Republic-Barahona,2016-05-07,1,30.0,31.0,32.0,27.0,27.0,28.0,23.0,23.0,23.0,24.0,24.0,22.0,1.02,0.0,0.0,12.0,17.0,23.0,2050.2607421875,0.0018242044502504225,2.102146169050236,1.1671120618502697,68.2,149.9
Colombia-Santander-Curiti,2016-06-04,1,26.0,80.0,81.0,22.0,73.0,74.0,18.0,67.0,67.0,19.0,68.0,69.0,4.83,0.05,0.47,8.0,5.0,5.0,62.23097229003906,0.2863081749170027,4.78142839091703,0.25801170091700204,291.5,666.9
Colombia-Cundinamarca-Mosquera,2016-01-23,1,72.0,70.0,70.0,57.0,56.0,59.0,42.0,41.0,48.0,48.0,47.0,51.0,0.0,0.0,0.02,5.0,5.0,6.0,2368.97509765625,0.006922057425997506,0.006922057425997506,0.06191215142600402,291.5,666.9
Colombia-Cundinamarca-Gachala,2016-01-23,1,92.0,90.0,89.0,81.0,81.0,81.0,71.0,72.0,72.0,66.0,69.0,70.0,0.0,0.0,0.0,1.0,2.0,1.0,15.958187103271484,0.2845075924210002,0.3932469204210061,0.30699795642099814,291.5,666.9
Colombia-Cundinamarca-Vergara,2016-04-02,1,22.0,23.0,21.0,16.0,15.0,16.0,10.0,8.0,11.0,11.0,8.0,11.0,4.06,4.06,6.1,8.0,10.0,9.0,33.12922668457031,0.21243446803299365,0.21243446803299365,0.21572555803300802,291.5,666.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Colombia-Magdalena-Salamina,2016-05-14,1,20.0,20.0,19.0,17.0,17.0,17.0,14.0,14.0,15.0,14.0,14.0,14.0,0.0,0.0,0.0,6.0,6.0,7.0,42.82763671875,0.13910837633999967,2.2846702483399906,0.6688901363400007,291.5,666.9
Colombia-Antioquia-Taraza,2016-06-11,1,87.76,88.64,82.03999999999999,79.48,82.0,74.76,71.32,74.72,67.48,70.24,72.88,66.88,0.0,0.0,0.07919999999999999,8.0,8.88,9.12,26.55829620361328,0.18886823163699995,9.871185375636962,0.5570264436369924,291.5,666.9
United_States-Rhode_Island,2016-06-15,0,78.0,71.0,72.0,71.0,65.0,68.0,64.0,59.0,64.0,49.0,51.0,59.0,0.0,0.0,0.0,12.0,14.0,9.0,210.45669555664062,0.004566763057058521,0.004566763057058521,31.851066124457155,18120.7,18120.7
Mexico-Baja_California,2015-11-28,0,70.0,76.0,75.0,60.0,63.0,63.0,49.0,51.0,52.0,31.0,25.0,25.0,0.0,0.0,0.0,8.0,7.0,7.0,0.026155754923820496,3.207154902424694,4.0606763506247,17.47571101797858,1169.6,2270.7
Colombia-Antioquia-Fredonia,2016-02-13,1,30.0,30.0,85.0,24.0,24.0,76.0,19.0,19.0,66.0,15.0,14.0,59.0,0.0,0.0,0.0,9.0,10.0,5.0,126.83094787597656,0.09210661007400125,3.8238226460739924,0.09590790407400179,291.5,666.9
Colombia-Cordoba-Momil,2016-03-19,1,35.0,36.0,35.0,30.0,30.0,29.0,25.0,24.0,24.0,24.0,23.0,24.0,0.0,0.0,0.0,5.0,4.0,6.0,125.93067932128906,0.026284451094009967,13.764794589493981,1.1281076748940089,291.5,666.9
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Ecuador-El_Oro-Santa_Rosa,2016-06-22,1,85.0,85.0,82.0,79.0,79.0,77.0,73.0,73.0,72.0,73.0,73.0,74.0,0.0,0.0,0.0,4.0,4.0,3.0,356.6400146484375,0.0007195645940799526,8.339432436594073,0.08637300139408488,99.3,184.8
Dominican_Republic-Jimani_de_Independencia,2016-01-30,1,89.0,89.0,89.0,81.0,80.0,80.0,73.0,73.0,72.0,66.0,67.0,68.0,0.0,0.0,0.0,9.0,9.0,9.0,125.54764556884766,0.20223630236577292,4.771914710365736,0.08237835436576535,68.2,149.9
Dominican_Republic-Espaillat,2016-05-28,1,90.0,90.0,30.0,82.0,82.0,26.0,73.0,74.0,21.0,76.0,75.0,23.0,0.0,0.0,0.0,5.0,5.0,7.0,228.31173706054688,0.10182974585588578,1.8063495656558923,3.953645920655868,68.2,149.9
Colombia-Cundinamarca-Fusagasuga,2016-06-25,1,66.0,19.0,19.0,57.0,13.0,13.0,48.0,9.0,8.0,48.0,8.0,9.0,0.0,0.0,0.0,7.0,11.0,9.0,827.1873779296875,0.17348941643299828,0.17348941643299828,0.09284064643299964,291.5,666.9
El_Salvador-San_Vicente,2016-04-23,1,34.0,33.0,36.0,29.0,29.0,30.0,25.0,25.0,25.0,24.0,22.0,21.0,0.0,0.0,0.0,7.0,8.0,11.0,215.90576171875,0.11373836652984484,0.11373836652984484,0.1677416447298509,26.1,52.7
Colombia-Antioquia-Urrao,2016-04-16,1,27.0,28.0,30.0,22.0,23.0,24.0,18.0,19.0,19.0,17.0,17.0,16.0,0.0,0.0,0.0,5.0,6.0,7.0,21.160655975341797,0.3012853434210081,6.537566619420982,0.2648504834209969,291.5,666.9
Mexico-Sonora,2015-11-28,0,84.0,81.0,83.0,71.0,66.0,67.0,57.0,50.0,50.0,46.0,46.0,41.0,0.0,0.31,0.0,1.0,2.0,2.0,0.04773048311471939,0.5547504663560593,0.5547504663560593,17.187932361156054,1169.6,2270.7
El_Salvador-La_Libertad,2016-04-23,1,34.0,33.0,36.0,29.0,29.0,30.0,25.0,25.0,25.0,24.0,22.0,21.0,0.0,0.0,0.0,7.0,8.0,11.0,278.7900390625,0.06620619685349016,0.06620619685349016,0.07865413725348736,26.1,52.7
Colombia-Narino-San_Pablo,2016-04-30,1,32.0,33.0,32.0,28.0,29.0,28.0,23.0,25.0,24.0,24.0,25.0,24.0,0.76,4.31,0.0,3.0,5.0,5.0,26.240144729614258,0.219727692432997,7.755229480433007,0.1859339804329912,291.5,666.9
Colombia-Bolivar-Calamar,2016-03-05,1,32.0,89.0,89.0,29.0,83.0,83.0,25.0,77.0,77.0,24.0,74.0,74.0,0.0,0.0,0.0,16.0,10.0,10.0,103.30137634277344,0.3950701182370117,21.354157636237005,0.13418881023699802,291.5,666.9
Colombia-Quindio-Cordoba,2016-05-21,1,87.52,88.28,75.08,79.96,82.0,68.52000000000001,72.64,75.44,61.96,70.48,72.76,60.76,0.0,0.0,0.0684,8.0,8.76,9.24,73.65008544921875,0.14802215434900493,13.240842130348987,1.3387916023490096,291.5,666.9
Colombia-Valle_Del_Cauca-Restrepo,2016-06-04,1,30.0,86.0,90.0,24.0,77.0,79.0,18.0,67.0,68.0,20.0,69.0,70.0,0.51,0.0,0.0,7.0,5.0,5.0,137.49783325195312,0.09685877929999939,6.4082527192999885,0.1381759792999999,291.5,666.9
Colombia-Magdalena-Aracataca,2016-04-02,1,34.0,36.0,35.0,30.0,31.0,30.0,26.0,26.0,25.0,23.0,23.0,23.0,0.0,0.0,0.0,8.0,9.0,7.0,33.81460952758789,0.28087894623399867,29.320951284233924,0.352717352233998,291.5,666.9
Colombia-Atlantico-Luruaco,2016-04-30,1,32.0,32.0,32.0,29.0,30.0,29.0,25.0,27.0,26.0,26.0,26.0,24.0,6.86,0.25,0.0,11.0,14.0,19.0,140.754150390625,0.165514536469007,20.350905936469,0.06118893846899857,291.5,666.9
United_States-Colorado,2016-03-09,0,16.0,16.0,11.0,8.0,9.0,5.0,2.0,2.0,1.0,5.0,8.0,9.0,0.0,0.0,0.0,9.0,16.0,10.0,0.1714942902326584,0.5711592465132468,0.5711592465132468,52.18214067871331,18120.7,18120.7
Ecuador-Carchi,2016-05-18,1,62.0,63.0,64.0,55.0,55.0,56.0,48.0,48.0,48.0,50.0,51.0,49.0,0.04,0.02,0.08,4.0,4.0,4.0,56.011558532714844,0.13295358531184817,0.6049209289118594,1.0976696409118274,99.3,184.8
Colombia-Meta-La_Macarena,2016-05-28,1,43.400000000000006,40.4,32.8,40.199999999999996,43.599999999999994,32.33009708737864,36.8,36.199999999999996,32.0,31.199999999999996,32.599999999999994,24.0,0.19800000000000006,0.062,0.04999999999999999,7.0,9.6,21.8,6.444652557373047,0.9604013620240064,6.481817662024001,1.4501471540239919,291.5,666.9
Colombia-Cundinamarca-Sesquile,2016-03-05,1,23.0,71.0,72.0,16.0,61.0,61.0,9.0,51.0,50.0,11.0,51.0,49.0,13.2,0.12,0.31,9.0,5.0,6.0,847.25439453125,0.24038542544900282,0.24038542544900282,0.6172721074489966,291.5,666.9
Colombia-Antioquia-Sabanalarga,2016-05-28,1,84.0,87.0,27.0,75.0,76.0,22.0,66.0,65.0,18.0,61.0,59.0,17.0,0.0,0.0,0.0,6.0,6.0,6.0,43.34637451171875,0.4480205467229287,7.403706649922944,0.32624694192292547,291.5,666.9
Colombia-Cundinamarca-Suesca,2016-01-09,0,70.0,69.0,71.0,59.0,58.0,58.0,48.0,46.0,44.0,51.0,45.0,43.0,0.02,0.01,0.0,6.0,7.0,8.0,121.67234802246094,0.2829071844650054,0.2829071844650054,0.6659651084650017,291.5,666.9
Colombia-Tolima-Herveo,2016-06-18,1,21.0,21.0,21.0,17.0,17.0,17.0,14.0,14.0,13.0,13.0,13.0,14.0,0.0,0.0,0.0,9.0,8.0,7.0,24.53215789794922,0.0861901397740111,1.2012676341740018,0.3925667237740098,291.5,666.9
Colombia-Narino-Guaitarilla,2016-05-28,1,61.0,60.0,16.0,53.0,53.0,12.0,46.0,45.0,7.0,49.0,49.0,10.0,0.46,0.09,0.5,4.0,5.0,5.0,64.69300842285156,0.08665363783699863,2.237218587837002,0.6756740298369978,291.5,666.9
Colombia-Boyaca-Chiscas,2016-01-09,0,91.7,92.22,40.28,81.83,82.83,34.24,71.83,72.44,28.2,63.26,65.35,25.46,0.1391,0.0,0.0,5.74,3.26,5.61,6.829509258270264,0.5584218241414006,6.136804187541429,0.6945434981414182,291.5,666.9
Colombia-Santander-Macaravita,2016-01-09,0,91.7,92.22,40.28,81.83,82.83,34.24,71.83,72.44,28.2,63.26,65.35,25.46,0.1391,0.0,0.0,5.74,3.26,5.61,17.328781127929688,0.6962465276999936,5.671111587700011,0.6428082077000046,291.5,666.9
Colombia-Antioquia-Pueblorrico,2016-01-09,0,84.0,85.0,86.0,75.0,76.0,75.0,65.0,66.0,64.0,61.0,58.0,55.0,0.0,0.0,0.0,4.0,7.0,5.0,152.389892578125,0.24363352284200002,4.061059350841962,0.2545572608420005,291.5,666.9
Mexico-Guerrero,2016-06-18,1,33.0,34.0,36.0,28.0,28.0,29.0,22.0,22.0,23.0,24.0,24.0,24.0,85.34,19.05,44.96,9.0,7.0,7.0,29.28565788269043,0.5090270397815225,0.5090270397815225,0.016628203381519078,1169.6,2270.7
Colombia-Antioquia-Caracoli,2016-02-13,1,23.0,23.0,74.0,18.0,18.0,66.0,13.0,13.0,57.0,13.0,13.0,57.0,8.13,0.0,0.06,5.0,5.0,4.0,25.767934799194336,0.5021469140014126,3.2858463688014004,0.20280891340141127,291.5,666.9
Mexico-Durango,2015-11-28,0,78.0,82.0,84.0,62.0,64.0,65.0,47.0,46.0,46.0,44.0,34.0,39.0,0.0,0.0,0.0,3.0,4.0,2.0,12.651546478271484,0.2065608837026583,15.40299292650267,6.452185467302713,1169.6,2270.7
Brazil-Minas_Gerais,2016-05-28,1,76.0,79.0,26.0,68.0,70.0,21.0,59.0,61.0,16.0,57.0,60.0,15.0,0.0,0.0,0.0,6.0,5.0,8.0,1.631079912185669,1.6019166982326392,1.6019166982326392,0.013333084632641273,1799.7,3224.4
United_States-Puerto_Rico,2016-06-29,1,85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7
Colombia-Huila-Aipe,2016-05-21,1,92.0,33.0,34.0,84.0,28.0,29.0,76.0,23.0,24.0,69.0,21.0,21.0,0.12,0.0,8.89,5.0,7.0,6.0,49.711727142333984,0.07683769738099916,3.3870992213809954,1.3476970853810009,291.5,666.9
Colombia-Cundinamarca-El_Penon,2016-06-18,1,23.0,23.0,23.0,18.0,18.0,18.0,13.0,13.0,13.0,13.0,13.0,14.0,0.0,15.75,45.21,6.0,5.0,4.0,141.2722625732422,0.06329719021000335,3.378947792209978,0.15341607820999859,291.5,666.9
Argentina-San_Juan,2016-05-07,1,18.0,14.0,24.0,13.0,10.0,16.0,8.0,5.0,8.0,9.0,3.0,5.0,0.0,5.08,0.0,10.0,14.0,10.0,3898.334716796875,0.015831215689567867,110.8555516932895,3.8781598940895674,642.5,883.9
